ID,INTEREST_NAME,INTEREST_SUMMARY,CREATED_AT,LAST_MODIFIED,
24,Home Design Enthusiasts,Consumers researching home design styles and trends.,5/26/2016 14:57,5/23/2018 11:30,
25,Doctors,People reading medical journals and using online prescribing services.,5/26/2016 14:57,5/23/2018 11:30,
26,Streaming Video Fans,Consumers streaming feature length movies and TV shows.,5/26/2016 14:57,5/23/2018 11:30,
27,Auto Insurance Shoppers,Consumers shopping for auto insurance.,5/26/2016 14:57,5/23/2018 11:30,
28,Teachers,People reading education industry publications and teaching advice websites.,5/26/2016 14:57,5/23/2018 11:30,
29,College Students,People visiting university websites.,5/26/2016 14:57,5/23/2018 11:30,
30,Department Store Shoppers,Consumes shopping at multi-category department stores.,5/26/2016 14:57,5/23/2018 11:30,
31,Home Decor Shoppers,"Consumers shopping for home design, art and accessories.",5/26/2016 14:57,5/23/2018 11:30,
33,Kids Clothing Shoppers,Consumers shopping for children's apparel.,5/26/2016 14:57,5/23/2018 11:30,
34,Teen Girl Clothing Shoppers,Consumers in-market for clothing for teenage girls.,5/26/2016 14:57,5/23/2018 11:30,
35,Men's Clothing Shoppers,Consumers in-market for mens clothing.,5/26/2016 14:57,5/23/2018 11:30,
36,Baby Products Buyers,Consumers shopping for baby-related products.,5/26/2016 14:57,5/23/2018 11:30,
37,Jewelry & Watch Shoppers,Consumers researching high-end watch and jewelry brands.,5/26/2016 14:57,5/23/2018 11:30,
38,Sporting Goods Shoppers,Consumers shopping for sporting goods and activewear apparel.,5/26/2016 14:57,5/23/2018 11:30,
39,Furniture Shoppers,Consumers shopping for major home furnishings.,5/26/2016 14:57,5/23/2018 11:30,
40,Bed & Bath Shoppers,Consumers shopping for bed and bath products.,5/26/2016 14:57,5/23/2018 11:30,
41,Intimates Shoppers,Consumers shopping for lingerie.,5/26/2016 14:57,5/23/2018 11:30,
42,Fast Fashion Shoppers,Consumers shopping for apparel that mimics current runway trends.,5/26/2016 14:57,5/23/2018 11:30,
43,Apartment Hunters,People reading real estate rental listings.,5/26/2016 14:57,5/23/2018 11:30,
44,Home Buyers,People reading real estate sales listings.,5/26/2016 14:57,5/23/2018 11:30,
45,Moving Services Shoppers,Consumers who are shopping for moving services.,5/26/2016 14:57,5/23/2018 11:30,
46,Job Seekers,People researching job boards.,5/26/2016 14:57,5/23/2018 11:30,
48,Charitable Donors,People researching major charitable organizations.,5/26/2016 14:57,5/23/2018 11:30,
49,NHL Fans,People reading articles and websites about hockey and the NHL.,5/26/2016 14:57,5/23/2018 11:30,
50,Discount Big Box Shoppers,Consumers shopping at big box retailers.,5/26/2016 14:57,5/23/2018 11:30,
51,Black Friday Deal Shoppers,Consumers researching holiday sales events.,5/26/2016 14:57,5/23/2018 11:30,
53,Hip Hop Fans,People reading about hip hop music and hip hop stars.,5/26/2016 14:57,5/23/2018 11:30,
54,Online Investors,Consumers with an active online trading account.,5/26/2016 14:57,5/23/2018 11:30,
55,Seasonal Allergy Sufferers,People researching allergy trends and treatment options.,5/26/2016 14:57,5/23/2018 11:30,
56,Discount Device Shoppers,Consumers shopping for discounted electronics.,5/26/2016 14:57,5/23/2018 11:30,
57,Mobile Phone Comparison Shoppers,Consumers researching alternative mobile phones and wireless plans.,5/26/2016 14:57,5/23/2018 11:30,
58,Budget Wireless Shoppers,Consumers researching discount wireless service plans.,5/26/2016 14:57,5/23/2018 11:30,
59,Menopause Researchers,People researching menopause symptoms.,5/26/2016 14:57,5/23/2018 11:30,
60,Online Health Researchers,People researching general health questions.,5/26/2016 14:57,5/23/2018 11:30,
61,Beauty & Skincare Buyers,Consumers shopping for beauty and skincare products.,5/26/2016 14:57,5/23/2018 11:30,
62,Streaming Device Shoppers,Consumers shopping for connected TV products.,5/26/2016 14:57,5/23/2018 11:30,
63,New & Expecting Parents,People researching pregnancy issues and baby names.,5/26/2016 14:57,5/23/2018 11:30,
64,High-End Kids Furniture and Clothes Shoppers,People shopping at high end children's clothing and toy retailers.,5/26/2016 14:57,5/23/2018 11:30,
65,Hands-On Parents,"People reading about family cooking, parenting advice and children's activities.",5/26/2016 14:57,5/23/2018 11:30,
66,Fantasy & Comic Fans,Consumers of online comics and fantasy novels.,5/26/2016 14:57,5/23/2018 11:30,
67,Lawyers,People reading legal journals and industry publications.,5/26/2016 14:57,5/23/2018 11:30,
69,Healthy Eaters,People researching healthy eating options.,5/26/2016 14:57,5/23/2018 11:30,
70,Drug Store Shoppers,Consumers shopping online or searching for a local drug store.,5/26/2016 14:57,5/23/2018 11:30,
71,Lawn & Garden Enthusiasts,Consumers reseraching lawn and garden maintenance techniques.,5/26/2016 14:57,5/23/2018 11:30,
72,Nurses,People reading websites about nursing lifestyle and career advice.,5/26/2016 14:57,5/23/2018 11:30,
73,Mailing & Shipping Shoppers,Consumers shopping for shipping supplies and postage.,5/26/2016 14:57,5/23/2018 11:30,
74,Office Supply Shoppers,Individuals in-market for office supplies.,5/26/2016 14:57,5/23/2018 11:30,
75,Ink & Toner Shoppers,Consumers shopping for printer ink.,5/26/2016 14:57,5/23/2018 11:30,
77,Luxury Retail Shoppers,Consumers shopping for high end fashion apparel and accessories.,5/26/2016 14:57,5/23/2018 11:30,
78,Contractors & Construction Professionals,People reading contractor trade publications.,5/26/2016 14:57,5/23/2018 11:30,
79,Luxury Travel Researchers,Consumers reading online reviews of luxury travel options.,5/26/2016 14:57,5/23/2018 11:30,
80,Democrats,People reading Democratic party advocacy websites.,5/26/2016 14:57,5/23/2018 11:30,
81,Republicans,People reading Republican party advocacy websites.,5/26/2016 14:57,5/23/2018 11:30,
82,HDTV Researchers,Consumers shopping for a new TV.,5/26/2016 14:57,5/23/2018 11:30,
83,Hardware Shoppers,Consumers shopping at hardware and home supply stores.,5/26/2016 14:57,5/23/2018 11:30,
84,Reggaeton Fans,People reading about reggaeton music and culture.,5/26/2016 14:57,5/23/2018 11:30,
85,Online Movie Downloaders,Consumers downloading feature length movies and TV shows.,5/26/2016 14:57,5/23/2018 11:30,
86,Sale Seekers,Consumers researching sales events and special offers.,5/26/2016 14:57,5/23/2018 11:30,
87,Theme Park Researchers,Consumers reading online reviews of theme parks and accommodations.,5/26/2016 14:57,5/23/2018 11:30,
88,Ski and Snowboard Enthusiasts,Consumers reading reviews of ski resorts and snow reports.,5/26/2016 14:57,1/16/2019 9:11,
89,Travel Researchers,Consumers reading reviews of travel destinations.,5/26/2016 14:57,5/23/2018 11:30,
90,Coupon Researchers,Consumers researching sales and discount codes.,5/26/2016 14:57,5/23/2018 11:30,
91,Parents with Toddlers,People shopping for infant and toddler supplies.,5/26/2016 14:57,5/23/2018 11:30,
92,Parents with Kids,People reading about activities for young children.,5/26/2016 14:57,5/23/2018 11:30,
93,Young Boomers,People researching sending children to college.,5/26/2016 14:57,5/23/2018 11:30,
94,Day Care Users,People researching daycare options.,5/26/2016 14:57,5/23/2018 11:30,
95,Stay-at-Home Parents,People reading about child raising advice and activities.,5/26/2016 14:57,5/23/2018 11:30,
96,Exercise and Gym Researchers,People researching gyms and health clubs.,5/26/2016 14:57,5/23/2018 11:30,
97,Home Kitchen Chefs,Consumers researching recipes.,5/26/2016 14:57,5/23/2018 11:30,
98,Restaurant Researchers,Consumers researching local restaurant reviews.,5/26/2016 14:57,5/23/2018 11:30,
99,Order-in Eaters,Consumers who order food delivery.,5/26/2016 14:57,5/23/2018 11:30,
100,Nutrition Conscious Eaters,Consumer reading about healthy eating options.,5/26/2016 14:57,5/23/2018 11:30,
101,Flower & Gift Basket Shoppers,Consumers shopping for flowers and gift baskets.,5/26/2016 14:57,5/23/2018 11:30,
102,Plus Size Women,Consumers shopping for plus size women's apparel.,5/26/2016 14:57,5/23/2018 11:30,
103,Live Concert Fans,Consumers researching live concerts and music festivals.,5/26/2016 14:57,5/23/2018 11:30,
104,Country Music Fans,People reading about country music and country music stars.,5/26/2016 14:57,5/23/2018 11:30,
106,Comedy Fans,Consumers of online comedy videos and articles.,5/26/2016 14:57,5/23/2018 11:30,
107,Cruise Travel Intenders,Consumers visiting cruise comparison and planning sites.,5/26/2016 14:57,5/23/2018 11:30,
108,Pain Medication Users,People researching pain medication options.,5/26/2016 14:57,5/23/2018 11:30,
109,Joint Pain Sufferers,People researching joint pain treatment options.,5/26/2016 14:57,5/23/2018 11:30,
110,Pain Management Researchers,People researching chronic pain treatment options.,5/26/2016 14:57,5/23/2018 11:30,
111,Retirement Planners,People researching retirement living options.,5/26/2016 14:57,5/23/2018 11:30,
112,Auto Repair Researchers,Drivers researching how to maintain their cars.,5/26/2016 14:57,5/23/2018 11:30,
113,Avid Readers,Readers researching books and long form journalism.,5/26/2016 14:57,5/23/2018 11:30,
114,Women's Fashion Magazine Readers,Consumers researching trending women's apparel.,5/26/2016 14:57,5/23/2018 11:30,
115,Men's Shoe Shoppers,Consumers in-market for mens shoes.,5/26/2016 14:57,5/23/2018 11:30,
116,Home Security Shoppers,Consumers shopping for a home security system.,5/26/2016 14:57,5/23/2018 11:30,
117,Boxing Fans,People reading articles and websites about the sport of boxing.,5/26/2016 14:57,5/23/2018 11:30,
118,Sleep Disorder Researchers,People researching sleep loss disorders and treatment options.,5/26/2016 14:57,5/23/2018 11:30,
119,Mortgage Researchers,People comparing mortgage offers.,5/26/2016 14:57,5/23/2018 11:30,
121,Coders & Developers,People reading about software development techniques and products.,5/26/2016 14:57,5/23/2018 11:30,
123,Military Servicemembers & Veterans,People visiting websites about military benefits.,5/26/2016 14:57,5/23/2018 11:30,
124,Healthcare Discount Shoppers,Consumers researching discounted and tax-free drug offers.,5/26/2016 14:57,5/23/2018 11:30,
125,Postal Employees,People buying postal employee uniforms and equipment,5/26/2016 14:57,10/28/2016 15:50,
126,Soccer Fans,People who love visiting websites and reading about soccer.,5/26/2016 14:57,5/23/2018 11:30,
128,Kitchen & Bathroom Remodelers,Consumers researching kitchen and bath design.,5/26/2016 14:57,5/23/2018 11:30,
129,Aftermarket Accessories Shoppers,Consumers shopping for car maintenance products.,5/26/2016 14:57,5/23/2018 11:30,
130,Automotive Safety Researchers,Consumers researching car safety ratings.,5/26/2016 14:57,5/23/2018 11:30,
131,Android Fans,Readers of Android news and product reviews.,5/26/2016 14:57,5/23/2018 11:30,
132,Apple Fans,Readers of Apple news and product reviews.,5/26/2016 14:57,5/23/2018 11:30,
133,High End Camera Shoppers - Dupe,Consumers shopping for high end cameras and camera accessories.,5/26/2016 14:57,8/22/2018 18:16,
134,Home Printer Shoppers,Consumers shopping for a printer.,5/26/2016 14:57,5/23/2018 11:30,
135,Major Appliance Shoppers,Consumers shopping for major home appliances.,5/26/2016 14:57,5/23/2018 11:30,
136,Tablet Researchers,Consumers reading reviews and comparing tablet devices.,5/26/2016 14:57,5/23/2018 16:19,
137,Online Alcohol Shoppers,Consumers shopping for wine and liquor online.,5/26/2016 14:57,5/23/2018 11:30,
138,Home Kitchen Bakers,Consumers researching home baking recipes.,5/26/2016 14:57,5/23/2018 11:30,
139,Makeup Researchers,People reading about new beauty products.,5/26/2016 14:57,5/23/2018 11:30,
140,Pet Owners,People shopping for pet food and researching pet wellness.,5/26/2016 14:57,5/23/2018 11:30,
141,Skin Care Researchers,People reading about skin care techniques.,5/26/2016 14:57,5/23/2018 11:30,
142,Credit Card Researchers,Consumers comparing credit card offers.,5/26/2016 14:57,5/23/2018 11:30,
143,Health Insurance Researchers,Consumers researching healthcare options.,5/26/2016 14:57,5/23/2018 11:30,
145,Property Insurance Researchers,Consumers researching property and homeowner insurance options.,5/26/2016 14:57,5/23/2018 11:30,
146,Audio Equipment Researchers,Consumers reading reviews of high end stereo equipment.,5/26/2016 14:57,5/23/2018 11:30,
147,Broadway Fans,People researching Broadway show reviews and shopping for tickets.,5/26/2016 14:57,5/23/2018 11:30,
148,Celebrity Gossip Fans,Readers of online celebrity gossip websites.,5/26/2016 14:57,5/23/2018 11:30,
149,Streaming Radio Listeners,Consumers listening to online streaming music services.,5/26/2016 14:57,5/23/2018 11:30,
150,TV Junkies,Consumers researching TV listings.,5/26/2016 14:57,5/23/2018 11:30,
151,Big & Tall Men,Consumers shopping for big and tall men's apparel.,5/26/2016 14:57,5/23/2018 11:30,
153,Phone Accessory Shoppers,Consumers in-market for phone accessories.,5/26/2016 14:57,5/23/2018 11:30,
154,Prepaid Smartphone Shoppers,Consumers in-market for a prepaid smartphone.,5/26/2016 14:57,5/23/2018 11:30,
155,Business Travelers,Users of business travel planning and expense reimbursement tools.,5/26/2016 14:57,5/23/2018 11:30,
157,Car Rental Shoppers,Consumers making online rental car bookings.,5/26/2016 14:57,5/23/2018 11:30,
158,Flight and Hotel Shoppers,Consumers using online airfare comparison tools.,5/26/2016 14:57,5/23/2018 11:30,
160,Sightseeing Travelers,Consumers reading online reviews of local attractions and tours.,5/26/2016 14:57,5/23/2018 11:30,
161,Travel Reward Points Enthusiasts,Consumers comparing travel rewards programs.,5/26/2016 14:57,5/23/2018 11:30,
162,Retirees,People using online retirement discount and health benefits services.,5/26/2016 14:57,5/23/2018 11:30,
163,Federal Employees,People visiting government employee benefits websites.,5/26/2016 14:57,5/23/2018 11:30,
164,Conservative News Readers,People reading right-leaning financial news websites.,5/26/2016 14:57,5/23/2018 11:30,
165,Liberal News Readers,People reading left-leaning financial news websites.,5/26/2016 14:57,5/23/2018 11:30,
166,Doves,People reading anti-war publications,5/26/2016 14:57,10/20/2017 11:11,
168,Social Conservatives,People reading right-leaning social issues websites.,5/26/2016 14:57,5/23/2018 11:30,
169,Social Liberals,People reading left-leaning social issues websites.,5/26/2016 14:57,5/23/2018 11:30,
170,Voters,People researching voter registration options.,5/26/2016 14:57,5/23/2018 11:30,
171,Shoe Shoppers,Consumers shopping for mass market shoes.,5/26/2016 14:57,5/23/2018 11:30,
4847,Readers of Hispanic Content,People reading news from Hispanic media sources.,6/9/2016 16:28,5/23/2018 16:19,
4848,Working Parents,People with young children researching daycare options.,6/9/2016 16:28,12/27/2017 12:31,
4852,Health & Fitness,NULL,6/9/2016 16:28,3/28/2017 11:55,
4855,Entertainment & Tabloid Magazine Readers,Avid readers of online content about the entertainment industry.,6/9/2016 16:28,12/7/2017 12:35,
4857,Business Accounting Software Researchers,Professionals researching accounting software products.,6/9/2016 16:28,5/23/2018 11:30,
4858,Business Filing Researchers,Professionals researching products and services to file a business.,6/9/2016 16:28,5/23/2018 11:30,
4859,Business Logistics Managers,Professionals responsible for day-to-day business logistics.,6/9/2016 16:28,5/23/2018 11:30,
4861,IT Decision Makers,Professionals researching and comparing IT solutions.,6/9/2016 16:28,5/23/2018 11:30,
4866,Small Business Employees,NULL,6/9/2016 16:28,2/27/2018 14:07,
4867,Sweepstakes Enthusiasts,Consumers visiting sweepstakes sites.,6/9/2016 16:28,5/23/2018 11:30,
4869,Women's Fitness Enthusiasts,Consumers researching health and fitness trends and techniques for women.,6/9/2016 16:28,5/23/2018 11:30,
4870,Tech-Savvy Moms,People reading tech sites geared to mothers.,6/9/2016 16:28,5/23/2018 11:30,
4872,Readers of Mexican Content,People reading news from Mexican media sources.,6/9/2016 16:28,12/7/2018 11:59,
4873,TV Game Show Fans,People searching for and watching TV game shows online.,6/9/2016 16:28,5/23/2018 16:19,
4894,Credit Union Researchers,People researching and comparing credit unions for their financial needs.,8/11/2016 12:08,12/27/2017 12:31,
4895,Mature Parents,Parents who had children later in life.,8/11/2016 12:12,5/23/2018 11:30,
4896,Streaming Music Enthusiasts,People visiting sites that offer digital music streaming.,8/11/2016 12:12,5/23/2018 16:19,
4897,Parents of Teenagers Going to College,People researching and comparing academic programs and college admission applications with their teenagers.,8/11/2016 12:12,12/27/2017 12:31,
4898,Cosmetics and Beauty Shoppers,Consumers comparing and shopping for cosmetics and beauty products.,8/11/2016 12:12,12/27/2017 12:31,
4899,Readers of Japanese Content,People reading news from Japanese media sources.,8/11/2016 12:13,5/23/2018 16:19,
4902,Yogis,Active fans of yoga.,9/7/2016 16:12,5/23/2018 11:30,
4903,Asthma Sufferers,People researching asthma trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4904,Adult Acne Sufferers,People researching acne trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4905,Heartburn Sufferers,People researching heartburn trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4906,Sinus Researchers,People researching sinus condition trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4907,Headache and Migraine Sufferers,People researching headache and migraine treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4908,Back Pain Sufferers,People researching back pain trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4909,First Aid Researchers,People researching products and services related to first aid.,9/7/2016 16:12,5/23/2018 11:30,
4910,Cholesterol Researchers,People researching cholesterol trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4911,Dieters,Consumers reading content about diet and weight loss.,9/7/2016 16:12,5/23/2018 11:30,
4912,Vitamin Shoppers,Consumers in-market for vitamins.,9/7/2016 16:12,5/23/2018 11:30,
4913,Women's Health Researchers,People researching womens health options.,9/7/2016 16:12,5/23/2018 11:30,
4914,Men's Health Researchers,People researching mens health options.,9/7/2016 16:12,5/23/2018 11:30,
4915,Food Allergies Researchers,People researching food allergy treatment and alternative food options.,9/7/2016 16:12,5/23/2018 11:30,
4916,Arthritis Sufferers,People researching arthritis trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4917,Teen Content Readers,People reading sites featuring fashions for teens.,9/7/2016 16:12,5/23/2018 11:30,
4918,Gastrointestinal Researchers,People researching gastrointestinal trends and treatment options.,9/7/2016 16:12,5/23/2018 11:30,
4919,Military Families,People reading military publications.,9/7/2016 16:12,5/23/2018 11:30,
4920,LGBT Activists,People visiting sites advocating LGBT rights.,9/7/2016 16:12,5/23/2018 11:30,
4921,Tire Shoppers,Consumers in-market for vehicle tires.,9/7/2016 16:12,5/23/2018 11:30,
4924,Surfers,"People reading about surfing sites, techniques and equipment.",9/7/2016 16:12,1/16/2019 9:11,
4925,Gun Control Advocates,People visiting sites advocating gun control.,9/7/2016 16:12,5/23/2018 11:30,
4926,Gun Rights Advocates,People visiting sites advocating gun rights.,9/7/2016 16:12,5/23/2018 11:30,
4927,Immigration Rights Advocates,People visiting sites advocating immigration rights.,9/7/2016 16:12,5/23/2018 11:30,
4928,Immigration Control Advocates,People visiting sites advocating immigration control.,9/7/2016 16:12,5/23/2018 11:30,
4929,Right Wing Radicals,"The Oathkeepers"" movement.""",9/7/2016 16:12,5/23/2018 11:30,
4930,Occupy Movement Supporters,"People who are interested in the Occupy"" movement.""",9/7/2016 16:12,5/23/2018 11:30,
4931,Marijuana Legalization Advocates,People visiting sites advocating the legalization of marijuana.,9/7/2016 16:12,5/23/2018 11:30,
4932,Marijuana Prohibition Advocates,People visiting sites advocating the prohibition of marijuana.,9/7/2016 16:12,5/23/2018 11:30,
4933,Family Values Advocates,People visiting sites advocating traditional family values.,9/7/2016 16:12,5/23/2018 11:30,
4935,Conservative Think Tank Readers,People reading content online related to conservative think tanks.,9/7/2016 16:12,5/23/2018 11:30,
4936,Liberal Think Tank Readers,People visiting sites related to liberal think tanks.,9/7/2016 16:12,5/23/2018 11:30,
4937,Evangelical Christians,People engaged in Christian online forums.,9/7/2016 16:12,5/23/2018 11:30,
4940,Auto-Looking for New Car Purchase or Lease,NULL,10/18/2016 11:50,9/7/2018 8:06,
4943,Online Grocery Shoppers,Consumers purchasing groceries online.,10/28/2016 17:25,5/23/2018 11:30,
4944,Pre-Measured Grocery Shoppers,Consumers purchasing groceries through a meal delivery service.,10/28/2016 17:25,5/23/2018 11:30,
5895,Cardio Health Researchers,People reading news and advice on preventing and treating cardio health issues.,1/5/2017 17:02,12/27/2017 12:31,
5896,Orthopedic Health Researchers,People reading news and advice on preventing and treating orthopedic health issues.,1/5/2017 17:02,12/27/2017 12:31,
5897,Orthodontics Researchers,People researching and comparing orthodontic practices and treatments.,1/5/2017 17:02,12/27/2017 12:31,
5898,Oncology Researchers,People reading news and advice on preventing and treating cancer.,1/5/2017 17:02,12/27/2017 12:31,
5900,Dentures,NULL,1/27/2017 17:46,1/27/2017 17:46,
5901,Diabetes,NULL,1/27/2017 17:46,1/27/2017 17:46,
5904,Truck Drivers,Professionals reading industry news and researching products and services for truck driving and transportation.,2/16/2017 10:24,12/27/2017 16:31,
5906,Business Communication Product Researchers,Professionals researching communication and productivity tools.,2/17/2017 12:17,5/23/2018 11:30,
5907,Budget Small Business Researchers,Professionals researching budget-friendly options for small businesses.,2/17/2017 12:18,5/23/2018 11:30,
5909,Web Design Researchers,Consumers researching creating websites and web design.,2/17/2017 15:23,5/23/2018 11:30,
5910,SEO Specialists,Professionals specializing in search engine optimization strategies.,2/17/2017 15:23,5/23/2018 11:30,
5911,Credit Score Researchers,People researching and using services to check their credit.,2/17/2017 15:25,12/27/2017 12:31,
5913,Spa Goers,Consumers comparing spas and booking appointments online.,2/17/2017 15:42,8/26/2019 11:24,
5914,Career Focused Individuals,People researching career development and advancement.,2/17/2017 15:54,5/23/2018 11:30,
5916,Shared Work Space Researchers,People researching locations for shared work spaces.,2/17/2017 15:56,12/7/2017 12:35,
5917,Caribbean Trip Planners,People researching attractions and accommodations in the Caribbean islands. These consumers are more likely to spend money on travel and local attractions.,2/17/2017 15:57,12/7/2017 12:35,
5918,Enterprise Field Services Researchers,Professionals reading industry news on enterprise field services.,2/17/2017 15:58,5/23/2018 11:30,
5920,Business Decision Makers,Professionals in leadership positions responsible for making business related decisions.,2/17/2017 16:00,5/23/2018 11:30,
5921,Arizona Trip Planners,People researching attractions and accommodations in Arizona. These consumers are more likely to spend money on travel and guided tours.,2/17/2017 16:01,12/27/2017 12:31,
5922,Software Directory Researchers,Professionals reading industry news on software directories.,2/17/2017 16:03,5/23/2018 11:30,
5924,Cloud Security Researchers,Professionals reading industry news and researching products and services for cloud security.,2/17/2017 16:05,12/27/2017 12:31,
5925,Business Incorporating & LLC Filing Researchers,Professionals reading industry news and researching products and services for filing a business or LLC.,2/17/2017 16:05,12/27/2017 12:31,
5926,Readers of Data Scientist blogs,"Professionals reading industry news about analytics and data science and finding bugs on this line,2017-02-17, 16:07:04,2018-05-23 11:30:12
5929,Employee Management & HR Researchers""",Professionals researching employee management and HR products.,2/21/2017 13:18,
5930,Tax Filers,Consumers researching products and services to file taxes.,2/21/2017 13:23,12/7/2017 12:35,
5933,Supply Chain Professionals,Professionals reading industry news and researching products and services for supply chain.,2/21/2017 13:23,5/23/2018 16:19,
5934,Logistics Professionals,Professionals reading industry news and researching products and services for logistics.,2/21/2017 13:23,5/23/2018 16:19,
5936,Fishing Enthusiasts,People reading news and techniques on fishing. These consumers are more likely to spend money on fishing gear.,2/21/2017 13:23,12/7/2017 12:35,
5938,Costa Rica Trip Planners,"People researching attractions and accommodations in Costa Rica. These consumers are more likely to spend money on flights, hotels, and local attractions.",2/21/2017 13:23,12/7/2017 12:35,
5942,Tax Policy Researchers,People researching tax policies and refunds. These consumers are more likely to spend money on tax filing products and services.,2/21/2017 13:23,12/27/2017 12:31,
5943,Financial News Readers,People reading financial news and following the latest trends.,2/21/2017 13:23,12/7/2017 12:35,
5944,Financial Advisors,Professionals reading industry news and trends on finance.,2/21/2017 13:23,12/7/2017 12:35,
5945,Parents of High School Students,People researching academic programs and resources for high schoolers.,2/21/2017 13:23,12/27/2017 12:31,
5946,Readers of Filipinos Content,People reading news from Filipino media sources.,2/23/2017 10:47,5/23/2018 16:19,
5951,Law Enforcement Officers,Professionals reading industry news and researching products and services for law enforcement.,2/23/2017 10:47,12/27/2017 12:31,
5952,Australia Trip Planners,People researching attractions and accommodations in Australia. These consumers are more likely to spend money on travel and local attractions.,2/23/2017 10:47,12/7/2017 13:35,
5956,Recreational Sports Participants,People registering for recreational sports leagues and programs for adults and kids.,2/23/2017 10:47,1/16/2019 9:11,
5957,Online Education Intenders,People researching institutions that offer college classes online. These consumers are more likely to pay for tuition and school supplies.,2/23/2017 10:47,12/7/2017 12:35,
5958,Flooring Shoppers,Consumers comparing services and shopping for home flooring products.,2/23/2017 10:47,12/7/2017 12:35,
5960,New Zealand Trip Planners,"People researching attractions and accommodations in New Zealand. These consumers are more likely to spend money on flights, hotels, and local attractions.",3/1/2017 10:49,12/7/2017 12:35,
5961,Business Tax Filers,People researching and comparing products and services to file taxes for businesses.,3/2/2017 16:40,12/27/2017 12:31,
5962,New Homeowners,Consumers researching home remodels and decor inspiration.,3/2/2017 17:34,5/23/2018 11:30,
5963,Weight Lifting Enthusiasts,People researching weight lifting techniques and trends.,3/3/2017 10:08,1/16/2019 9:11,
5967,Online Auto Shoppers,Consumers researching and comparing car sales online.,3/8/2017 9:54,3/12/2018 16:43,
5968,Luxury Kitchen Goods Shoppers,Consumers researching and comparing luxury kitchen goods. These consumers are more likely to spend money on home remodeling.,3/8/2017 9:56,12/27/2017 12:31,
5969,Luxury Bedding Shoppers,Consumers shopping for luxury bedding.,3/8/2017 9:57,5/23/2018 11:30,
5970,Luxury Home Fixture Shoppers,Consumers researching and comparing luxury home fixtures. These consumers are more likely to spend money on home remodeling.,3/8/2017 9:59,12/27/2017 12:31,
5971,Readers of Arabic Content,People reading news from Arabic media sources.,3/13/2017 9:59,5/23/2018 16:19,
5972,Financial Investors,Consumers reading financial industry news and investment trends.,3/22/2017 12:09,5/23/2018 11:30,
5984,Readers of Indian Content,People reading news from Indian media sources.,3/27/2017 16:36,5/23/2018 16:19,
5989,Tech News Enthusiasts,Consumers reading the latest technology news and researching new products.,3/27/2017 16:36,12/7/2017 12:35,
5991,Gluten-Free Recipe Researchers,People researching and testing gluten-free recipes. These consumers are more likely to spend money at specialty food stores.,3/27/2017 16:36,12/27/2017 12:31,
